timestamp,title,score
1467228375.0,How China Took Center Stage in Bitcoin’s Civil War,-0.5994
1516636721.0,The View From the Bitcoin Bubble,0.0
1442854036.0,The Benefits of Allowing Bitcoin to Flourish,0.3818
1385513259.0,Much Ado About Bitcoin,0.0
1385573280.0,A Prediction: Bitcoin Is Doomed to Fail,-0.8271
1391785229.0,Rewards Program Tries Bitcoin,0.4767
1387386856.0,Bitcoin Mania Heads Into the Endgame,0.0
1505282731.0,"In China’s Hinterlands, Workers Mine Bitcoin for a Digital Fortune",0.0
1529064001.0,Farhad’s Week in Tech: Bitcoin and the Scams Under Everything,-0.5859
1510179427.0,Bitcoin Expansion Is Off the Table. At Least for Now.,0.0
1518981951.0,Bitcoin Thieves Threaten Real Violence for Virtual Currencies,-0.875
1393339214.0,Will People Get Their Bitcoins Back?,0.0
1452803630.0,A Bitcoin Believer’s Crisis of Faith,-0.3182
1452803630.0,A Bitcoin Believer’s Crisis of Faith,-0.3182
1389190330.0,Chinese E-Commerce Giant Alibaba to Ban Bitcoins on Its Sites,-0.5574
1389200577.0,Five Lessons From Bitcoin,0.0
1556006410.0,"After the Bust, Are Bitcoins More Like Tulip Mania or the Internet?",0.4201
1405621130.0,Bitcoin Regulation in New York,0.0
1531513201.0,Bitcoin Funds Are Rare: They Sail Uncharted Waters,0.0
1385430029.0,"Render Unto Caesar, but Who Backs Bitcoin?",-0.0772
1446720492.0,Morning Agenda: The Bitcoin Resurgence,0.0
1395198038.0,"Fortress, Benchmark and Ribbit  Buy Stake in Pantera Bitcoin",0.0
1393304727.0,Apparent Theft at Mt. Gox Shakes Bitcoin World,0.0
1470209063.0,Bitcoin Plunges After Hacking of Exchange in Hong Kong,0.0
1501124607.0,"Bitcoin Exchange Was a Nexus of Crime, Indictment Says",-0.5423
1526660671.0,When Thousands Filled a Hilton Ballroom to Ponder the Future of Bitcoin ,0.0
1372722827.0,Winklevoss Twins Plan First Fund for Bitcoins,0.0
1380150046.0,Fund to Let Investors Bet on Price of Bitcoins,0.0
